Número de recipientes: 65

Recipiente 1: [8, 8, 13, 4] | soma = 33
Recipiente 2: [7, 11, 13, 3] | soma = 34
Recipiente 3: [30, 5] | soma = 35
Recipiente 4: [33] | soma = 33
Recipiente 5: [25, 6, 4] | soma = 35
Recipiente 6: [32, 3] | soma = 35
Recipiente 7: [21, 13] | soma = 34
Recipiente 8: [19, 16] | soma = 35
Recipiente 9: [35] | soma = 35
Recipiente 10: [18, 11, 6] | soma = 35
Recipiente 11: [30, 4] | soma = 34
Recipiente 12: [23, 11] | soma = 34
Recipiente 13: [29, 6] | soma = 35
Recipiente 14: [33] | soma = 33
Recipiente 15: [25, 10] | soma = 35
Recipiente 16: [25, 7] | soma = 32
Recipiente 17: [20, 15] | soma = 35
Recipiente 18: [34] | soma = 34
Recipiente 19: [31] | soma = 31
Recipiente 20: [27, 8] | soma = 35
Recipiente 21: [20, 11] | soma = 31
Recipiente 22: [32] | soma = 32
Recipiente 23: [23, 11] | soma = 34
Recipiente 24: [26, 7] | soma = 33
Recipiente 25: [28] | soma = 28
Recipiente 26: [31] | soma = 31
Recipiente 27: [19, 16] | soma = 35
Recipiente 28: [17, 17] | soma = 34
Recipiente 29: [32] | soma = 32
Recipiente 30: [33] | soma = 33
Recipiente 31: [23, 11] | soma = 34
Recipiente 32: [32] | soma = 32
Recipiente 33: [33] | soma = 33
Recipiente 34: [33] | soma = 33
Recipiente 35: [17, 15] | soma = 32
Recipiente 36: [20, 14] | soma = 34
Recipiente 37: [19, 15] | soma = 34
Recipiente 38: [35] | soma = 35
Recipiente 39: [34] | soma = 34
Recipiente 40: [35] | soma = 35
Recipiente 41: [34] | soma = 34
Recipiente 42: [31] | soma = 31
Recipiente 43: [21, 12] | soma = 33
Recipiente 44: [35] | soma = 35
Recipiente 45: [14, 17] | soma = 31
Recipiente 46: [13, 14] | soma = 27
Recipiente 47: [31] | soma = 31
Recipiente 48: [33] | soma = 33
Recipiente 49: [24] | soma = 24
Recipiente 50: [13, 18] | soma = 31
Recipiente 51: [20, 13] | soma = 33
Recipiente 52: [26] | soma = 26
Recipiente 53: [17] | soma = 17
Recipiente 54: [25] | soma = 25
Recipiente 55: [34] | soma = 34
Recipiente 56: [33] | soma = 33
Recipiente 57: [26] | soma = 26
Recipiente 58: [30] | soma = 30
Recipiente 59: [35] | soma = 35
Recipiente 60: [23] | soma = 23
Recipiente 61: [22] | soma = 22
Recipiente 62: [23] | soma = 23
Recipiente 63: [19] | soma = 19
Recipiente 64: [22] | soma = 22
Recipiente 65: [26] | soma = 26

Capacidade dos recipientes: 35
