Conexões (1-indexado):
1 2
1 3
1 5
1 11
1 12
1 14
1 19
1 21
1 26
1 27
2 3
2 6
2 7
2 10
2 11
2 12
2 14
2 16
2 19
2 20
2 21
2 26
2 27
2 28
3 6
3 14
3 19
3 20
3 26
3 28
4 6
4 7
4 10
4 16
4 17
4 18
4 20
4 24
4 25
4 26
4 28
4 30
5 11
5 12
5 21
5 22
5 27
6 7
6 8
6 10
6 11
6 12
6 16
6 17
6 18
6 20
6 23
6 24
6 25
6 26
6 27
6 28
6 30
7 8
7 10
7 11
7 12
7 16
7 17
7 18
7 20
7 23
7 24
7 25
7 26
7 27
7 28
7 30
8 9
8 10
8 13
8 15
8 16
8 17
8 18
8 23
8 24
8 25
8 29
8 30
9 13
9 15
9 22
9 23
9 29
10 11
10 12
10 13
10 16
10 17
10 18
10 20
10 23
10 24
10 25
10 26
10 27
10 28
10 30
11 12
11 16
11 20
11 21
11 22
11 26
11 27
12 16
12 17
12 20
12 21
12 22
12 26
12 27
13 15
13 22
13 23
13 29
14 19
14 20
14 26
14 28
15 23
15 29
16 17
16 18
16 20
16 23
16 24
16 25
16 26
16 27
16 28
16 30
17 18
17 20
17 23
17 24
17 25
17 26
17 27
17 28
17 30
18 20
18 23
18 24
18 25
18 26
18 28
18 30
19 20
19 26
19 28
20 24
20 26
20 27
20 28
21 22
21 27
22 27
23 24
23 25
23 29
23 30
24 25
24 26
24 28
24 30
25 30
26 27
26 28

Soma total das distâncias: 1820.712602
